resident_id,exposure_time
10773200112032833,0.0
11676196201218136,0.0
11713200202266546,0.0
12959195401232815,0.0
13204201905066230,0.0
13581200002251577,0.0
14150195705077260,0.0
14580193412114726,0.0
20922200610218162,0.0
21970200801024221,0.0
22179193302259281,0.0
22507200810149268,0.0
22976196811138656,0.0
24170198404135497,0.0
24683193705104672,0.0
25916197105125018,0.0
25928194711117816,0.0
26068197902032776,0.0
26762197808197455,0.0
27400194309089944,0.0
27503198306032522,0.0
28972199206259166,0.0
29502193510286985,0.0
30725194601122251,0.0
30904197408038545,0.0
31614198205258771,0.0
32151194603286073,0.0
33205193512195988,0.0
33288201204194519,0.0
34419199503127497,0.0
35106194702277274,0.0
35607202004284185,0.0
36134197304079245,0.0
37372196505193138,0.0
38673195505278238,0.0
39060197404088261,0.0
39186198008048465,0.0
39570200902059140,0.0
40141200710273008,0.0
41482198209179643,0.0
45032193903312222,0.0
45701198311047152,0.0
46075193609026385,0.0
47164201409095779,0.0
48525193011101191,0.0
49200195812306484,0.0
49606200103134575,0.0
50263193710309250,0.0
51242196405289131,0.0
51445196501051086,0.0
51668201003198364,0.0
53250194010081772,0.0
53874193210174746,0.0
54275195909244714,0.0
54426194509045008,0.0
54781198308207463,0.0
55689197501163558,0.0
55946195306184164,0.0
56986199711217888,0.0
57196200806145192,0.0
58016193003295608,0.0
60245195312282461,0.0
63676201611046012,0.0
65025196412016253,0.0
65388195102063321,0.0
65737201412128368,0.0
66286195001152736,0.0
66761201312282898,0.0
68310198311181881,0.0
68622194308128292,0.0
68639200501035974,0.0
68690201310265331,0.0
69735201110211718,0.0
69846199608196161,0.0
70486199308268692,0.0
72437195504165628,0.0
73942196701143690,0.0
74227196811151177,0.0
78895195607019419,0.0
79365195806267812,0.0
79405195604118486,0.0
80769198312211937,0.0
80779195607124482,0.0
80798198111187599,0.0
81140201101256831,0.0
81950193808022649,0.0
83183193708141943,0.0
84131196204283413,0.0
85112193308114841,0.0
85368198706075537,0.0
86823197504214714,0.0
89123199404274625,0.0
89451194312073794,0.0
