id_Number,city,latitude,longitude
73529197010093257,Gatka,29.81428,57.248037
97861196606209587,Gatka,39.389043,56.587691
29792196204102405,Gatka,45.064789,59.565245
82236194410021907,Gatka,39.447289,69.592558
77245198106275036,Gatka,28.261066,55.48291
40080196007172530,Gatka,31.627419,51.469761
17229199011036052,Gatka,42.163622,51.728468
35918200504164367,Gatka,45.52187,54.285791
37773199012236130,Gatka,26.784117,54.181596
18326201008011679,Gatka,42.635507,68.43379
41226196601136585,Gatka,48.739449,52.104498
21730200711118627,Gatka,32.44353,67.430116
29535200202044660,Gatka,22.986162,51.041247
46679197308118126,Gatka,29.760485,64.027056
13195196308181942,Gatka,20.939223,50.751541
45713196108179422,Gatka,45.00012,65.855797
27730198803014833,Gatka,31.917084,56.308641
65420195803281764,Gatka,49.270141,61.451135
73921195402194207,Gatka,37.380458,63.891074
99025201812151211,Gatka,28.429795,55.156669
98401196303305028,Gatka,42.140623,53.585991
60285198104259258,Gatka,35.45316,64.387145
48189200201292938,Gatka,39.656576,64.479343
44354194003143208,Gatka,46.172208,50.819819
30564195009135691,Gatka,20.348873,56.096835
98017198207223306,Gatka,22.525808,67.024783
14655194007048053,Gatka,45.836312,50.857461
79578196709264842,Gatka,28.17988,66.083377
26125200005146448,Gatka,42.084416,61.033791
19564201904028133,Gatka,48.796832,58.346328
39203195910113495,Gatka,35.011955,66.107196
63984193112052599,Gatka,43.461582,59.574176
45459200311099838,Gatka,36.114156,50.422459
39846201807031723,Gatka,37.853779,53.508258
21468199110142437,Gatka,32.842665,54.884813
92121195302216976,Gatka,38.345625,67.639093
67871197607236238,Gatka,46.208682,55.84178
52131200003124660,Gatka,28.089175,68.684535
53219192409075175,Gatka,39.325398,57.638571
88795196505269940,Gatka,20.173085,66.834093
29884201807136907,Gatka,24.522183,55.425104
21935194402206133,Gatka,42.712709,63.41523
53280195711099633,Gatka,20.485569,55.475122
83060199105137825,Gatka,36.870724,51.336354
24963198702235649,Gatka,40.804201,51.163462
26820200912271367,Gatka,45.668775,57.589437
70528193212298401,Gatka,32.868418,62.945086
50833198007254136,Gatka,22.280847,55.742268
95193192407063244,Gatka,28.559571,62.79969
10025196310069705,Gatka,25.97749,58.036521
31084198606108732,Gatka,38.537258,68.577191
77775197306195006,Gatka,49.396568,69.364787
50571193303285083,Gatka,39.169211,65.59013
51464194703061749,Gatka,26.376583,57.42395
80881194701052796,Gatka,32.698956,53.67468
63279196503237653,Gatka,29.845585,50.458252
18904199408185897,Gatka,46.141451,56.563503
28586195111262230,Gatka,25.860234,62.093023
69230201912171088,Gatka,46.115635,66.653185
94186194703011811,Gatka,44.633538,53.727602
91322196405148606,Gatka,33.014008,60.531609
62678196201061301,Gatka,45.30851,52.901945
22482194003133394,Gatka,49.044466,52.535418
21005196308265437,Gatka,40.832281,62.515599
48171197405209717,Gatka,29.371394,59.92676
49459195110198614,Gatka,36.095126,52.85008
87751198212133303,Gatka,46.87751,54.197833
99964196612289527,Gatka,21.33799,60.377052
57838197607103632,Gatka,28.921482,58.217646
72622201108027485,Gatka,31.552813,68.179787
95013195701063274,Gatka,48.130945,67.105329
11215201503211267,Gatka,20.721594,68.329002
49973193806309169,Gatka,34.504433,69.13245
42921193002274029,Gatka,24.274542,50.569135
43462200610157219,Gatka,23.474356,50.931396
21249199511214812,Gatka,34.577246,69.551207
85514197203142459,Gatka,36.910707,50.790156
20974192705285154,Gatka,42.356655,52.727289
42941193105157084,Gatka,42.807442,59.084262
52467199804023664,Gatka,24.177722,52.280319
71316193312184704,Gatka,42.29971,51.565438
64001194110202543,Gatka,42.965217,56.072564
45415197408173241,Gatka,37.191651,67.598802
18943194810033145,Gatka,25.619004,58.529418
43651200305249588,Gatka,22.525551,62.549989
57246193803258465,Gatka,48.203605,50.259268
73849194007063419,Gatka,22.148763,65.625331
12959195401232815,Gatka,27.290123,63.866374
33761201207207820,Gatka,46.367847,54.139107
82450199603072903,Gatka,42.62177,55.295597
99572194103042293,Gatka,43.017296,58.470003
24019193304034837,Gatka,25.762024,54.638727
67770195501228034,Gatka,49.487972,66.437255
16977201308268199,Gatka,20.854591,61.517943
84431194208028043,Gatka,40.776584,59.96399
52542192302135850,Gatka,43.367264,55.293193
34296196803057069,Gatka,40.646115,54.699024
17587201003181261,Gatka,25.911339,65.940807
27454199402274889,Gatka,36.208991,56.22256
19784194601256432,Gatka,46.269204,64.323116
48990197708191712,Gatka,22.80436,61.361878
94194200609062561,Gatka,36.080639,51.926895
70884200908319218,Gatka,24.799112,66.083411
63463193405147537,Gatka,35.660142,51.50833
70218196403307730,Gatka,31.709591,50.370473
71502198105072926,Gatka,25.896768,64.867574
79375198201293163,Gatka,31.834197,67.535427
47334193008054560,Gatka,44.731694,61.385592
89625200409122433,Gatka,44.444997,61.083493
26926194108072326,Gatka,48.156854,59.383587
34649199511156278,Gatka,23.824409,57.799596
40009201101286170,Gatka,36.479196,57.712893
74619199212173282,Gatka,24.472026,52.564539
23730199707131090,Gatka,36.094803,68.880825
61838197012315048,Gatka,47.9982,69.249931
54038200311168564,Gatka,30.181984,50.238976
22470196012027103,Gatka,23.582111,69.243938
51755196104125888,Gatka,32.791575,53.361237
96269192107111398,Gatka,34.699389,67.470127
73593196106146338,Gatka,26.080325,58.709962
29896198807152437,Gatka,44.514757,67.821433
79461195304211842,Gatka,42.063362,69.357278
55124196410156899,Gatka,41.765034,62.833553
87344196412247254,Gatka,48.314391,50.024981
18322196210069998,Gatka,39.429254,61.527355
15656196105296778,Gatka,23.234799,67.515588
40647194405135582,Gatka,49.313325,59.990758
22869200604233069,Gatka,22.518417,60.46338
47598195603183229,Gatka,26.535083,64.900396
68774201802115907,Gatka,49.056959,68.744042
92414198202167922,Gatka,24.365216,59.559813
55069196602027467,Gatka,38.103916,53.991548
27850199410011615,Gatka,28.918159,60.162998
72338195712213986,Gatka,44.867949,60.946278
24254201706016092,Gatka,47.318374,64.379111
58749195807124889,Gatka,34.427067,51.606048
89613196101313493,Gatka,45.541111,67.497163
86750200210027717,Gatka,37.712797,57.387547
40075195712187292,Gatka,45.756268,68.472979
38905201304086090,Gatka,36.268269,67.728141
83900195109027466,Gatka,32.918461,55.696748
84847192105239448,Gatka,49.775149,54.615376
60917193802263486,Gatka,48.117519,60.653142
76275194410175535,Gatka,21.991547,60.516097
75709196602186777,Gatka,46.263943,62.27537
58558195909191887,Gatka,21.006317,58.130862
50033201905221029,Gatka,29.57405,50.148975
51438200703077305,Gatka,31.219068,65.032915
31765196904067671,Gatka,37.096628,63.95902
27618201504302085,Gatka,29.867112,57.247998
82125196111165166,Gatka,28.710652,59.757921
69597195008187018,Gatka,41.408729,66.722513
16645200701239205,Gatka,27.996057,66.539139
24660201111127269,Gatka,45.963802,65.744773
49101193312044188,Gatka,30.882467,65.26453
55371194311168094,Gatka,29.851723,55.285831
92564195502214976,Gatka,25.307165,68.66073
86898198910061972,Gatka,43.649602,58.063424
63228193511206787,Gatka,38.883055,61.73516
68419194707293689,Gatka,43.691264,60.913067
24476198701155926,Gatka,29.563985,57.561572
78312196805062292,Gatka,30.989866,69.516971
74128199112259389,Gatka,47.959791,52.743184
50398200909207672,Gatka,39.381135,68.324672
89732192309256161,Gatka,49.135571,53.112739
65119200505308668,Gatka,42.131303,64.302589
57867201303094686,Gatka,31.543503,62.089852
16947200404228185,Gatka,36.51844,53.240656
64535201702192652,Gatka,23.517781,58.866972
57443192110036060,Gatka,34.736166,55.087555
54219196701133396,Gatka,42.77409,60.267322
42134198008092999,Gatka,23.713756,56.753766
90368199905199577,Gatka,44.098813,61.21963
67371201507246012,Gatka,33.666873,51.801925
83316197803124177,Gatka,48.80677,61.658953
55972193906181609,Gatka,28.419248,57.336333
58628201503316640,Gatka,31.715745,60.262123
72838196908267335,Gatka,24.41495,59.170233
68926198005048174,Gatka,33.427952,57.756336
30225198201234042,Gatka,36.908825,63.703513
60191198707083333,Gatka,22.757806,55.182462
52254196609207706,Gatka,24.701315,50.922879
33984200212281518,Gatka,27.448458,62.659505
55550201201291959,Gatka,39.337854,58.62076
86260197608217666,Gatka,31.428371,52.957918
24736196605135433,Gatka,23.730148,67.963807
82588198108254679,Gatka,30.511124,53.763013
35089199409287700,Gatka,27.892271,52.835449
76851194112069034,Gatka,47.997235,67.714188
62514194504113577,Gatka,24.079388,55.375169
93642199007156483,Gatka,34.314114,58.826959
55110200704184017,Gatka,27.39143,51.346724
59730199207165865,Gatka,43.285829,54.82018
86903201401221622,Gatka,42.731464,62.399302
68880194710075298,Gatka,30.940958,58.675029
50603197803121945,Gatka,23.919175,54.898874
19150199008293066,Gatka,36.16787,63.458997
13758195009296687,Gatka,23.65733,67.684024
16046196008255462,Gatka,38.702381,58.286379
14432200207032356,Gatka,41.418757,61.645988
70895196803102057,Gatka,40.790922,68.827584
36754193209114268,Gatka,32.682798,69.901682
32515194504309339,Gatka,33.591577,56.504162
25251193107133628,Gatka,27.221464,52.614007
43544197101259728,Gatka,46.869238,58.513917
18716199606021822,Gatka,29.321005,55.855555
23480197812243220,Gatka,31.670957,50.02339
86307195906239892,Gatka,34.290548,51.091848
98675196311194835,Gatka,23.171432,65.118181
19869193508207203,Gatka,42.102086,63.975311
